Mod:Item:MetaData, Localized Name
tconstruct:sign_head:0, Blue Steel Sign Plate
tconstruct:sign_head:0, Damascus Steel Sign Plate
tconstruct:sign_head:0, Tungstensteel Sign Plate
tconstruct:sign_head:0, Cobalt Brass Sign Plate
tconstruct:sign_head:0, Tungsten Carbide Sign Plate
tconstruct:sign_head:0, Vanadiumsteel Sign Plate
tconstruct:sign_head:0, HSS-G Sign Plate
tconstruct:sign_head:0, HSS-E Sign Plate
tconstruct:sign_head:0, HSS-S Sign Plate
tconstruct:sign_head:0, Naquadah Sign Plate
tconstruct:sign_head:0, Naquadah Alloy Sign Plate
tconstruct:sign_head:0, Enriched Naquadah Sign Plate
tconstruct:sign_head:0, Tritanium Sign Plate
tconstruct:sign_head:0, Duranium Sign Plate
tconstruct:sign_head:0, Neutronium Sign Plate
tconstruct:sign_head:0, Blue Topaz Sign Plate
tconstruct:sign_head:0, Diamond Sign Plate
tconstruct:sign_head:0, Emerald Sign Plate
tconstruct:sign_head:0, Green Sapphire Sign Plate
tconstruct:sign_head:0, Ruby Sign Plate
tconstruct:sign_head:0, Sapphire Sign Plate
tconstruct:sign_head:0, Tanzanite Sign Plate
tconstruct:sign_head:0, Topaz Sign Plate
tconstruct:sign_head:0, Olivine Sign Plate
tconstruct:sign_head:0, Opal Sign Plate
tconstruct:sign_head:0, Amethyst Sign Plate
tconstruct:sign_head:0, Red Garnet Sign Plate
tconstruct:sign_head:0, Yellow Garnet Sign Plate
tconstruct:sign_head:0, Vinteum Sign Plate
tconstruct:tool_rod:0, Wooden Tool Rod
tconstruct:tool_rod:0, Stone Tool Rod
tconstruct:tool_rod:0, Flint Tool Rod
tconstruct:tool_rod:0, Cactus Tool Rod
tconstruct:tool_rod:0, Bone Tool Rod
tconstruct:tool_rod:0, Obsidian Tool Rod
tconstruct:tool_rod:0, Prismarine Tool Rod
tconstruct:tool_rod:0, End Tool Rod
tconstruct:tool_rod:0, Paper Tool Rod
tconstruct:tool_rod:0, Sponge Tool Rod
tconstruct:tool_rod:0, Firewood Tool Rod
tconstruct:tool_rod:0, Iron Tool Rod
tconstruct:tool_rod:0, Pig Iron Tool Rod
tconstruct:tool_rod:0, Knightslime Tool Rod
tconstruct:tool_rod:0, Slime Tool Rod
tconstruct:tool_rod:0, Slime Tool Rod
tconstruct:tool_rod:0, Magma Slime Tool Rod
tconstruct:tool_rod:0, Netherrack Tool Rod
tconstruct:tool_rod:0, Cobalt Tool Rod
tconstruct:tool_rod:0, Ardite Tool Rod
tconstruct:tool_rod:0, Manyullyn Tool Rod
tconstruct:tool_rod:0, Copper Tool Rod
tconstruct:tool_rod:0, Bronze Tool Rod
tconstruct:tool_rod:0, Lead Tool Rod
tconstruct:tool_rod:0, Silver Tool Rod
tconstruct:tool_rod:0, Electrum Tool Rod
tconstruct:tool_rod:0, Steel Tool Rod
tconstruct:tool_rod:0, Cheese Tool Rod
tconstruct:tool_rod:0, Plague Metal Tool Rod
tconstruct:tool_rod:0, Aluminium Tool Rod
tconstruct:tool_rod:0, Chrome Tool Rod
tconstruct:tool_rod:0, Iridium Tool Rod
tconstruct:tool_rod:0, Manganese Tool Rod
tconstruct:tool_rod:0, Molybdenum Tool Rod
tconstruct:tool_rod:0, Neodymium Tool Rod
tconstruct:tool_rod:0, Darmstadtium Tool Rod
tconstruct:tool_rod:0, Osmium Tool Rod
tconstruct:tool_rod:0, Palladium Tool Rod
tconstruct:tool_rod:0, Thorium Tool Rod
tconstruct:tool_rod:0, Titanium Tool Rod
tconstruct:tool_rod:0, Tungsten Tool Rod
tconstruct:tool_rod:0, Uranium Tool Rod
tconstruct:tool_rod:0, Uranium-235 Tool Rod
tconstruct:tool_rod:0, Brass Tool Rod
tconstruct:tool_rod:0, Invar Tool Rod
tconstruct:tool_rod:0, Magnalium Tool Rod
tconstruct:tool_rod:0, Stainless Steel Tool Rod
tconstruct:tool_rod:0, Ultimet Tool Rod
tconstruct:tool_rod:0, Wrought Iron Tool Rod
tconstruct:tool_rod:0, Osmiridium Tool Rod
tconstruct:tool_rod:0, Sterling Siver Tool Rod
tconstruct:tool_rod:0, Rose Gold Tool Rod
tconstruct:tool_rod:0, Black Bronze Tool Rod
tconstruct:tool_rod:0, Bismuth Bronze Tool Rod
tconstruct:tool_rod:0, Black Steel Tool Rod
tconstruct:tool_rod:0, Red Steel Tool Rod
tconstruct:tool_rod:0, Blue Steel Tool Rod
tconstruct:tool_rod:0, Damascus Steel Tool Rod
tconstruct:tool_rod:0, Tungstensteel Tool Rod
tconstruct:tool_rod:0, Cobalt Brass Tool Rod
tconstruct:tool_rod:0, Tungsten Carbide Tool Rod
tconstruct:tool_rod:0, Vanadiumsteel Tool Rod
tconstruct:tool_rod:0, HSS-G Tool Rod
tconstruct:tool_rod:0, HSS-E Tool Rod
tconstruct:tool_rod:0, HSS-S Tool Rod
tconstruct:tool_rod:0, Naquadah Tool Rod
tconstruct:tool_rod:0, Naquadah Alloy Tool Rod
tconstruct:tool_rod:0, Enriched Naquadah Tool Rod
tconstruct:tool_rod:0, Tritanium Tool Rod
tconstruct:tool_rod:0, Duranium Tool Rod
tconstruct:tool_rod:0, Neutronium Tool Rod
tconstruct:tool_rod:0, Blue Topaz Tool Rod
tconstruct:tool_rod:0, Diamond Tool Rod
tconstruct:tool_rod:0, Emerald Tool Rod
tconstruct:tool_rod:0, Green Sapphire Tool Rod
tconstruct:tool_rod:0, Ruby Tool Rod
tconstruct:tool_rod:0, Sapphire Tool Rod
tconstruct:tool_rod:0, Tanzanite Tool Rod
tconstruct:tool_rod:0, Topaz Tool Rod
tconstruct:tool_rod:0, Olivine Tool Rod
tconstruct:tool_rod:0, Opal Tool Rod
tconstruct:tool_rod:0, Amethyst Tool Rod
tconstruct:tool_rod:0, Red Garnet Tool Rod
tconstruct:tool_rod:0, Yellow Garnet Tool Rod
tconstruct:tool_rod:0, Vinteum Tool Rod
tconstruct:tough_tool_rod:0, Wooden Tough Tool Rod
tconstruct:tough_tool_rod:0, Stone Tough Tool Rod
tconstruct:tough_tool_rod:0, Flint Tough Tool Rod
tconstruct:tough_tool_rod:0, Cactus Tough Tool Rod
tconstruct:tough_tool_rod:0, Bone Tough Tool Rod
tconstruct:tough_tool_rod:0, Obsidian Tough Tool Rod
tconstruct:tough_tool_rod:0, Prismarine Tough Tool Rod
tconstruct:tough_tool_rod:0, End Tough Tool Rod
tconstruct:tough_tool_rod:0, Paper Tough Tool Rod
tconstruct:tough_tool_rod:0, Sponge Tough Tool Rod
tconstruct:tough_tool_rod:0, Firewood Tough Tool Rod
tconstruct:tough_tool_rod:0, Iron Tough Tool Rod
tconstruct:tough_tool_rod:0, Pig Iron Tough Tool Rod
tconstruct:tough_tool_rod:0, Knightslime Tough Tool Rod
tconstruct:tough_tool_rod:0, Slime Tough Tool Rod
tconstruct:tough_tool_rod:0, Slime Tough Tool Rod
tconstruct:tough_tool_rod:0, Magma Slime Tough Tool Rod
tconstruct:tough_tool_rod:0, Netherrack Tough Tool Rod
tconstruct:tough_tool_rod:0, Cobalt Tough Tool Rod
tconstruct:tough_tool_rod:0, Ardite Tough Tool Rod
tconstruct:tough_tool_rod:0, Manyullyn Tough Tool Rod
tconstruct:tough_tool_rod:0, Copper Tough Tool Rod
tconstruct:tough_tool_rod:0, Bronze Tough Tool Rod
tconstruct:tough_tool_rod:0, Lead Tough Tool Rod
tconstruct:tough_tool_rod:0, Silver Tough Tool Rod
tconstruct:tough_tool_rod:0, Electrum Tough Tool Rod
tconstruct:tough_tool_rod:0, Steel Tough Tool Rod
tconstruct:tough_tool_rod:0, Cheese Tough Tool Rod
tconstruct:tough_tool_rod:0, Plague Metal Tough Tool Rod
tconstruct:tough_tool_rod:0, Aluminium Tough Tool Rod
tconstruct:tough_tool_rod:0, Chrome Tough Tool Rod
tconstruct:tough_tool_rod:0, Iridium Tough Tool Rod
tconstruct:tough_tool_rod:0, Manganese Tough Tool Rod
tconstruct:tough_tool_rod:0, Molybdenum Tough Tool Rod
tconstruct:tough_tool_rod:0, Neodymium Tough Tool Rod
tconstruct:tough_tool_rod:0, Darmstadtium Tough Tool Rod
tconstruct:tough_tool_rod:0, Osmium Tough Tool Rod
tconstruct:tough_tool_rod:0, Palladium Tough Tool Rod
tconstruct:tough_tool_rod:0, Thorium Tough Tool Rod
tconstruct:tough_tool_rod:0, Titanium Tough Tool Rod
tconstruct:tough_tool_rod:0, Tungsten Tough Tool Rod
tconstruct:tough_tool_rod:0, Uranium Tough Tool Rod
tconstruct:tough_tool_rod:0, Uranium-235 Tough Tool Rod
tconstruct:tough_tool_rod:0, Brass Tough Tool Rod
tconstruct:tough_tool_rod:0, Invar Tough Tool Rod
tconstruct:tough_tool_rod:0, Magnalium Tough Tool Rod
tconstruct:tough_tool_rod:0, Stainless Steel Tough Tool Rod
tconstruct:tough_tool_rod:0, Ultimet Tough Tool Rod
tconstruct:tough_tool_rod:0, Wrought Iron Tough Tool Rod
tconstruct:tough_tool_rod:0, Osmiridium Tough Tool Rod
tconstruct:tough_tool_rod:0, Sterling Siver Tough Tool Rod
tconstruct:tough_tool_rod:0, Rose Gold Tough Tool Rod
tconstruct:tough_tool_rod:0, Black Bronze Tough Tool Rod
tconstruct:tough_tool_rod:0, Bismuth Bronze Tough Tool Rod
tconstruct:tough_tool_rod:0, Black Steel Tough Tool Rod
tconstruct:tough_tool_rod:0, Red Steel Tough Tool Rod
tconstruct:tough_tool_rod:0, Blue Steel Tough Tool Rod
tconstruct:tough_tool_rod:0, Damascus Steel Tough Tool Rod
tconstruct:tough_tool_rod:0, Tungstensteel Tough Tool Rod
tconstruct:tough_tool_rod:0, Cobalt Brass Tough Tool Rod
tconstruct:tough_tool_rod:0, Tungsten Carbide Tough Tool Rod
tconstruct:tough_tool_rod:0, Vanadiumsteel Tough Tool Rod
tconstruct:tough_tool_rod:0, HSS-G Tough Tool Rod
tconstruct:tough_tool_rod:0, HSS-E Tough Tool Rod
tconstruct:tough_tool_rod:0, HSS-S Tough Tool Rod
tconstruct:tough_tool_rod:0, Naquadah Tough Tool Rod
tconstruct:tough_tool_rod:0, Naquadah Alloy Tough Tool Rod
tconstruct:tough_tool_rod:0, Enriched Naquadah Tough Tool Rod
tconstruct:tough_tool_rod:0, Tritanium Tough Tool Rod
tconstruct:tough_tool_rod:0, Duranium Tough Tool Rod
tconstruct:tough_tool_rod:0, Neutronium Tough Tool Rod
tconstruct:tough_tool_rod:0, Blue Topaz Tough Tool Rod
tconstruct:tough_tool_rod:0, Diamond Tough Tool Rod
tconstruct:tough_tool_rod:0, Emerald Tough Tool Rod
tconstruct:tough_tool_rod:0, Green Sapphire Tough Tool Rod
tconstruct:tough_tool_rod:0, Ruby Tough Tool Rod
tconstruct:tough_tool_rod:0, Sapphire Tough Tool Rod
tconstruct:tough_tool_rod:0, Tanzanite Tough Tool Rod
tconstruct:tough_tool_rod:0, Topaz Tough Tool Rod
tconstruct:tough_tool_rod:0, Olivine Tough Tool Rod
tconstruct:tough_tool_rod:0, Opal Tough Tool Rod
tconstruct:tough_tool_rod:0, Amethyst Tough Tool Rod
tconstruct:tough_tool_rod:0, Red Garnet Tough Tool Rod
tconstruct:tough_tool_rod:0, Yellow Garnet Tough Tool Rod
tconstruct:tough_tool_rod:0, Vinteum Tough Tool Rod
tconstruct:binding:0, Wooden Binding
tconstruct:binding:0, Stone Binding
tconstruct:binding:0, Flint Binding
tconstruct:binding:0, Cactus Binding
tconstruct:binding:0, Bone Binding
tconstruct:binding:0, Obsidian Binding
tconstruct:binding:0, Prismarine Binding
tconstruct:binding:0, End Binding
tconstruct:binding:0, Paper Binding
tconstruct:binding:0, Sponge Binding
tconstruct:binding:0, Firewood Binding
tconstruct:binding:0, Iron Binding
tconstruct:binding:0, Pig Iron Binding
tconstruct:binding:0, Knightslime Binding
tconstruct:binding:0, Slime Binding
tconstruct:binding:0, Slime Binding
tconstruct:binding:0, Magma Slime Binding
tconstruct:binding:0, Netherrack Binding
tconstruct:binding:0, Cobalt Binding
tconstruct:binding:0, Ardite Binding
tconstruct:binding:0, Manyullyn Binding
tconstruct:binding:0, Copper Binding
tconstruct:binding:0, Bronze Binding
tconstruct:binding:0, Lead Binding
tconstruct:binding:0, Silver Binding
tconstruct:binding:0, Electrum Binding
tconstruct:binding:0, Steel Binding
tconstruct:binding:0, Cheese Binding
tconstruct:binding:0, Plague Metal Binding
tconstruct:binding:0, Aluminium Binding
tconstruct:binding:0, Chrome Binding
tconstruct:binding:0, Iridium Binding
tconstruct:binding:0, Manganese Binding
tconstruct:binding:0, Molybdenum Binding
tconstruct:binding:0, Neodymium Binding
tconstruct:binding:0, Darmstadtium Binding
tconstruct:binding:0, Osmium Binding
tconstruct:binding:0, Palladium Binding
tconstruct:binding:0, Thorium Binding
tconstruct:binding:0, Titanium Binding
tconstruct:binding:0, Tungsten Binding
tconstruct:binding:0, Uranium Binding
tconstruct:binding:0, Uranium-235 Binding
tconstruct:binding:0, Brass Binding
tconstruct:binding:0, Invar Binding
tconstruct:binding:0, Magnalium Binding
tconstruct:binding:0, Stainless Steel Binding
tconstruct:binding:0, Ultimet Binding
tconstruct:binding:0, Wrought Iron Binding
tconstruct:binding:0, Osmiridium Binding
tconstruct:binding:0, Sterling Siver Binding
tconstruct:binding:0, Rose Gold Binding
tconstruct:binding:0, Black Bronze Binding
tconstruct:binding:0, Bismuth Bronze Binding
tconstruct:binding:0, Black Steel Binding
tconstruct:binding:0, Red Steel Binding
tconstruct:binding:0, Blue Steel Binding
tconstruct:binding:0, Damascus Steel Binding
tconstruct:binding:0, Tungstensteel Binding
tconstruct:binding:0, Cobalt Brass Binding
tconstruct:binding:0, Tungsten Carbide Binding
tconstruct:binding:0, Vanadiumsteel Binding
tconstruct:binding:0, HSS-G Binding
tconstruct:binding:0, HSS-E Binding
tconstruct:binding:0, HSS-S Binding
tconstruct:binding:0, Naquadah Binding
tconstruct:binding:0, Naquadah Alloy Binding
tconstruct:binding:0, Enriched Naquadah Binding
tconstruct:binding:0, Tritanium Binding
tconstruct:binding:0, Duranium Binding
tconstruct:binding:0, Neutronium Binding
tconstruct:binding:0, Blue Topaz Binding
tconstruct:binding:0, Diamond Binding
tconstruct:binding:0, Emerald Binding
tconstruct:binding:0, Green Sapphire Binding
tconstruct:binding:0, Ruby Binding
tconstruct:binding:0, Sapphire Binding
tconstruct:binding:0, Tanzanite Binding
tconstruct:binding:0, Topaz Binding
tconstruct:binding:0, Olivine Binding
tconstruct:binding:0, Opal Binding
tconstruct:binding:0, Amethyst Binding
tconstruct:binding:0, Red Garnet Binding
tconstruct:binding:0, Yellow Garnet Binding
tconstruct:binding:0, Vinteum Binding
tconstruct:tough_binding:0, Wooden Tough Binding
tconstruct:tough_binding:0, Stone Tough Binding
tconstruct:tough_binding:0, Flint Tough Binding
tconstruct:tough_binding:0, Cactus Tough Binding
tconstruct:tough_binding:0, Bone Tough Binding
tconstruct:tough_binding:0, Obsidian Tough Binding
tconstruct:tough_binding:0, Prismarine Tough Binding
tconstruct:tough_binding:0, End Tough Binding
tconstruct:tough_binding:0, Paper Tough Binding
tconstruct:tough_binding:0, Sponge Tough Binding
tconstruct:tough_binding:0, Firewood Tough Binding
tconstruct:tough_binding:0, Iron Tough Binding
tconstruct:tough_binding:0, Pig Iron Tough Binding
tconstruct:tough_binding:0, Knightslime Tough Binding
tconstruct:tough_binding:0, Slime Tough Binding
tconstruct:tough_binding:0, Slime Tough Binding
tconstruct:tough_binding:0, Magma Slime Tough Binding
tconstruct:tough_binding:0, Netherrack Tough Binding
tconstruct:tough_binding:0, Cobalt Tough Binding
tconstruct:tough_binding:0, Ardite Tough Binding
tconstruct:tough_binding:0, Manyullyn Tough Binding
tconstruct:tough_binding:0, Copper Tough Binding
tconstruct:tough_binding:0, Bronze Tough Binding
tconstruct:tough_binding:0, Lead Tough Binding
tconstruct:tough_binding:0, Silver Tough Binding
tconstruct:tough_binding:0, Electrum Tough Binding
tconstruct:tough_binding:0, Steel Tough Binding
tconstruct:tough_binding:0, Cheese Tough Binding
tconstruct:tough_binding:0, Plague Metal Tough Binding
tconstruct:tough_binding:0, Aluminium Tough Binding
tconstruct:tough_binding:0, Chrome Tough Binding
tconstruct:tough_binding:0, Iridium Tough Binding
tconstruct:tough_binding:0, Manganese Tough Binding
tconstruct:tough_binding:0, Molybdenum Tough Binding
tconstruct:tough_binding:0, Neodymium Tough Binding
tconstruct:tough_binding:0, Darmstadtium Tough Binding
tconstruct:tough_binding:0, Osmium Tough Binding
tconstruct:tough_binding:0, Palladium Tough Binding
tconstruct:tough_binding:0, Thorium Tough Binding
tconstruct:tough_binding:0, Titanium Tough Binding
tconstruct:tough_binding:0, Tungsten Tough Binding
tconstruct:tough_binding:0, Uranium Tough Binding
tconstruct:tough_binding:0, Uranium-235 Tough Binding
tconstruct:tough_binding:0, Brass Tough Binding
tconstruct:tough_binding:0, Invar Tough Binding
tconstruct:tough_binding:0, Magnalium Tough Binding
tconstruct:tough_binding:0, Stainless Steel Tough Binding
tconstruct:tough_binding:0, Ultimet Tough Binding
tconstruct:tough_binding:0, Wrought Iron Tough Binding
tconstruct:tough_binding:0, Osmiridium Tough Binding
tconstruct:tough_binding:0, Sterling Siver Tough Binding
tconstruct:tough_binding:0, Rose Gold Tough Binding
tconstruct:tough_binding:0, Black Bronze Tough Binding
tconstruct:tough_binding:0, Bismuth Bronze Tough Binding
tconstruct:tough_binding:0, Black Steel Tough Binding
tconstruct:tough_binding:0, Red Steel Tough Binding
tconstruct:tough_binding:0, Blue Steel Tough Binding
tconstruct:tough_binding:0, Damascus Steel Tough Binding
tconstruct:tough_binding:0, Tungstensteel Tough Binding
tconstruct:tough_binding:0, Cobalt Brass Tough Binding
tconstruct:tough_binding:0, Tungsten Carbide Tough Binding
tconstruct:tough_binding:0, Vanadiumsteel Tough Binding
tconstruct:tough_binding:0, HSS-G Tough Binding
tconstruct:tough_binding:0, HSS-E Tough Binding
tconstruct:tough_binding:0, HSS-S Tough Binding
tconstruct:tough_binding:0, Naquadah Tough Binding
tconstruct:tough_binding:0, Naquadah Alloy Tough Binding
tconstruct:tough_binding:0, Enriched Naquadah Tough Binding
tconstruct:tough_binding:0, Tritanium Tough Binding
tconstruct:tough_binding:0, Duranium Tough Binding
tconstruct:tough_binding:0, Neutronium Tough Binding
tconstruct:tough_binding:0, Blue Topaz Tough Binding
tconstruct:tough_binding:0, Diamond Tough Binding
tconstruct:tough_binding:0, Emerald Tough Binding
tconstruct:tough_binding:0, Green Sapphire Tough Binding
tconstruct:tough_binding:0, Ruby Tough Binding
tconstruct:tough_binding:0, Sapphire Tough Binding
tconstruct:tough_binding:0, Tanzanite Tough Binding
tconstruct:tough_binding:0, Topaz Tough Binding
tconstruct:tough_binding:0, Olivine Tough Binding
tconstruct:tough_binding:0, Opal Tough Binding
tconstruct:tough_binding:0, Amethyst Tough Binding
tconstruct:tough_binding:0, Red Garnet Tough Binding
tconstruct:tough_binding:0, Yellow Garnet Tough Binding
tconstruct:tough_binding:0, Vinteum Tough Binding
tconstruct:wide_guard:0, Wooden Wide Guard
tconstruct:wide_guard:0, Stone Wide Guard
tconstruct:wide_guard:0, Flint Wide Guard
tconstruct:wide_guard:0, Cactus Wide Guard
tconstruct:wide_guard:0, Bone Wide Guard
tconstruct:wide_guard:0, Obsidian Wide Guard
tconstruct:wide_guard:0, Prismarine Wide Guard
tconstruct:wide_guard:0, End Wide Guard
tconstruct:wide_guard:0, Paper Wide Guard
tconstruct:wide_guard:0, Sponge Wide Guard
tconstruct:wide_guard:0, Firewood Wide Guard
tconstruct:wide_guard:0, Iron Wide Guard
tconstruct:wide_guard:0, Pig Iron Wide Guard
tconstruct:wide_guard:0, Knightslime Wide Guard
tconstruct:wide_guard:0, Slime Wide Guard
tconstruct:wide_guard:0, Slime Wide Guard
tconstruct:wide_guard:0, Magma Slime Wide Guard
tconstruct:wide_guard:0, Netherrack Wide Guard
tconstruct:wide_guard:0, Cobalt Wide Guard
tconstruct:wide_guard:0, Ardite Wide Guard
tconstruct:wide_guard:0, Manyullyn Wide Guard
tconstruct:wide_guard:0, Copper Wide Guard
tconstruct:wide_guard:0, Bronze Wide Guard
tconstruct:wide_guard:0, Lead Wide Guard
tconstruct:wide_guard:0, Silver Wide Guard
tconstruct:wide_guard:0, Electrum Wide Guard
tconstruct:wide_guard:0, Steel Wide Guard
tconstruct:wide_guard:0, Cheese Wide Guard
tconstruct:wide_guard:0, Plague Metal Wide Guard
tconstruct:wide_guard:0, Aluminium Wide Guard
tconstruct:wide_guard:0, Chrome Wide Guard
tconstruct:wide_guard:0, Iridium Wide Guard
tconstruct:wide_guard:0, Manganese Wide Guard
tconstruct:wide_guard:0, Molybdenum Wide Guard
tconstruct:wide_guard:0, Neodymium Wide Guard
tconstruct:wide_guard:0, Darmstadtium Wide Guard
tconstruct:wide_guard:0, Osmium Wide Guard
tconstruct:wide_guard:0, Palladium Wide Guard
tconstruct:wide_guard:0, Thorium Wide Guard
tconstruct:wide_guard:0, Titanium Wide Guard
tconstruct:wide_guard:0, Tungsten Wide Guard
tconstruct:wide_guard:0, Uranium Wide Guard
tconstruct:wide_guard:0, Uranium-235 Wide Guard
tconstruct:wide_guard:0, Brass Wide Guard
tconstruct:wide_guard:0, Invar Wide Guard
tconstruct:wide_guard:0, Magnalium Wide Guard
tconstruct:wide_guard:0, Stainless Steel Wide Guard
tconstruct:wide_guard:0, Ultimet Wide Guard
tconstruct:wide_guard:0, Wrought Iron Wide Guard
tconstruct:wide_guard:0, Osmiridium Wide Guard
tconstruct:wide_guard:0, Sterling Siver Wide Guard
tconstruct:wide_guard:0, Rose Gold Wide Guard
tconstruct:wide_guard:0, Black Bronze Wide Guard
tconstruct:wide_guard:0, Bismuth Bronze Wide Guard
tconstruct:wide_guard:0, Black Steel Wide Guard
tconstruct:wide_guard:0, Red Steel Wide Guard
tconstruct:wide_guard:0, Blue Steel Wide Guard
tconstruct:wide_guard:0, Damascus Steel Wide Guard
tconstruct:wide_guard:0, Tungstensteel Wide Guard
tconstruct:wide_guard:0, Cobalt Brass Wide Guard
tconstruct:wide_guard:0, Tungsten Carbide Wide Guard
tconstruct:wide_guard:0, Vanadiumsteel Wide Guard
tconstruct:wide_guard:0, HSS-G Wide Guard
tconstruct:wide_guard:0, HSS-E Wide Guard
tconstruct:wide_guard:0, HSS-S Wide Guard
tconstruct:wide_guard:0, Naquadah Wide Guard
tconstruct:wide_guard:0, Naquadah Alloy Wide Guard
tconstruct:wide_guard:0, Enriched Naquadah Wide Guard
tconstruct:wide_guard:0, Tritanium Wide Guard
tconstruct:wide_guard:0, Duranium Wide Guard
tconstruct:wide_guard:0, Neutronium Wide Guard
tconstruct:wide_guard:0, Blue Topaz Wide Guard
tconstruct:wide_guard:0, Diamond Wide Guard
tconstruct:wide_guard:0, Emerald Wide Guard
tconstruct:wide_guard:0, Green Sapphire Wide Guard
tconstruct:wide_guard:0, Ruby Wide Guard
tconstruct:wide_guard:0, Sapphire Wide Guard
tconstruct:wide_guard:0, Tanzanite Wide Guard
tconstruct:wide_guard:0, Topaz Wide Guard
tconstruct:wide_guard:0, Olivine Wide Guard
tconstruct:wide_guard:0, Opal Wide Guard
tconstruct:wide_guard:0, Amethyst Wide Guard
tconstruct:wide_guard:0, Red Garnet Wide Guard
tconstruct:wide_guard:0, Yellow Garnet Wide Guard
tconstruct:wide_guard:0, Vinteum Wide Guard
tconstruct:hand_guard:0, Wooden Hand Guard
tconstruct:hand_guard:0, Stone Hand Guard
tconstruct:hand_guard:0, Flint Hand Guard
tconstruct:hand_guard:0, Cactus Hand Guard
tconstruct:hand_guard:0, Bone Hand Guard
tconstruct:hand_guard:0, Obsidian Hand Guard
tconstruct:hand_guard:0, Prismarine Hand Guard
tconstruct:hand_guard:0, End Hand Guard
tconstruct:hand_guard:0, Paper Hand Guard
tconstruct:hand_guard:0, Sponge Hand Guard
tconstruct:hand_guard:0, Firewood Hand Guard
tconstruct:hand_guard:0, Iron Hand Guard
tconstruct:hand_guard:0, Pig Iron Hand Guard
tconstruct:hand_guard:0, Knightslime Hand Guard
tconstruct:hand_guard:0, Slime Hand Guard
tconstruct:hand_guard:0, Slime Hand Guard
tconstruct:hand_guard:0, Magma Slime Hand Guard
tconstruct:hand_guard:0, Netherrack Hand Guard
tconstruct:hand_guard:0, Cobalt Hand Guard
tconstruct:hand_guard:0, Ardite Hand Guard
tconstruct:hand_guard:0, Manyullyn Hand Guard
tconstruct:hand_guard:0, Copper Hand Guard
tconstruct:hand_guard:0, Bronze Hand Guard
tconstruct:hand_guard:0, Lead Hand Guard
tconstruct:hand_guard:0, Silver Hand Guard
tconstruct:hand_guard:0, Electrum Hand Guard
tconstruct:hand_guard:0, Steel Hand Guard
tconstruct:hand_guard:0, Cheese Hand Guard
tconstruct:hand_guard:0, Plague Metal Hand Guard
tconstruct:hand_guard:0, Aluminium Hand Guard
tconstruct:hand_guard:0, Chrome Hand Guard
tconstruct:hand_guard:0, Iridium Hand Guard
tconstruct:hand_guard:0, Manganese Hand Guard
tconstruct:hand_guard:0, Molybdenum Hand Guard
tconstruct:hand_guard:0, Neodymium Hand Guard
tconstruct:hand_guard:0, Darmstadtium Hand Guard
tconstruct:hand_guard:0, Osmium Hand Guard
tconstruct:hand_guard:0, Palladium Hand Guard
tconstruct:hand_guard:0, Thorium Hand Guard
tconstruct:hand_guard:0, Titanium Hand Guard
tconstruct:hand_guard:0, Tungsten Hand Guard
tconstruct:hand_guard:0, Uranium Hand Guard
tconstruct:hand_guard:0, Uranium-235 Hand Guard
tconstruct:hand_guard:0, Brass Hand Guard
tconstruct:hand_guard:0, Invar Hand Guard
tconstruct:hand_guard:0, Magnalium Hand Guard
tconstruct:hand_guard:0, Stainless Steel Hand Guard
tconstruct:hand_guard:0, Ultimet Hand Guard
tconstruct:hand_guard:0, Wrought Iron Hand Guard
tconstruct:hand_guard:0, Osmiridium Hand Guard
tconstruct:hand_guard:0, Sterling Siver Hand Guard
tconstruct:hand_guard:0, Rose Gold Hand Guard
tconstruct:hand_guard:0, Black Bronze Hand Guard
tconstruct:hand_guard:0, Bismuth Bronze Hand Guard
tconstruct:hand_guard:0, Black Steel Hand Guard
tconstruct:hand_guard:0, Red Steel Hand Guard
tconstruct:hand_guard:0, Blue Steel Hand Guard
tconstruct:hand_guard:0, Damascus Steel Hand Guard
tconstruct:hand_guard:0, Tungstensteel Hand Guard
tconstruct:hand_guard:0, Cobalt Brass Hand Guard
tconstruct:hand_guard:0, Tungsten Carbide Hand Guard
tconstruct:hand_guard:0, Vanadiumsteel Hand Guard
tconstruct:hand_guard:0, HSS-G Hand Guard
tconstruct:hand_guard:0, HSS-E Hand Guard
tconstruct:hand_guard:0, HSS-S Hand Guard
tconstruct:hand_guard:0, Naquadah Hand Guard
tconstruct:hand_guard:0, Naquadah Alloy Hand Guard
tconstruct:hand_guard:0, Enriched Naquadah Hand Guard
tconstruct:hand_guard:0, Tritanium Hand Guard
tconstruct:hand_guard:0, Duranium Hand Guard
tconstruct:hand_guard:0, Neutronium Hand Guard
tconstruct:hand_guard:0, Blue Topaz Hand Guard
tconstruct:hand_guard:0, Diamond Hand Guard
tconstruct:hand_guard:0, Emerald Hand Guard
tconstruct:hand_guard:0, Green Sapphire Hand Guard
tconstruct:hand_guard:0, Ruby Hand Guard
tconstruct:hand_guard:0, Sapphire Hand Guard
tconstruct:hand_guard:0, Tanzanite Hand Guard
tconstruct:hand_guard:0, Topaz Hand Guard
tconstruct:hand_guard:0, Olivine Hand Guard
tconstruct:hand_guard:0, Opal Hand Guard
tconstruct:hand_guard:0, Amethyst Hand Guard
tconstruct:hand_guard:0, Red Garnet Hand Guard
